date,wind_speed,wind_direction,wind_speed_quality,wind_obs_type,tempc,atmpres
2017-01-01 00:00:00,10,070,1,N,-0049,10269
2017-01-01 00:00:00,10,999,9,V,-0060,99999
2017-01-01 00:30:00,10,999,9,V,-0060,99999
2017-01-01 01:00:00,10,999,9,V,-0060,99999
2017-01-01 01:30:00,20,160,1,V,-0060,99999
2017-01-01 02:00:00,10,999,9,V,-0050,99999
2017-01-01 02:30:00,10,999,9,V,-0040,99999
2017-01-01 03:00:00,10,200,1,N,-0037,10267
2017-01-01 03:00:00,20,999,9,V,-0040,99999
2017-01-01 03:30:00,20,200,1,V,-0030,99999
2017-01-01 04:00:00,20,150,1,V,-0020,99999
2017-01-01 04:30:00,10,999,9,V,-0010,99999
2017-01-01 05:00:00,10,999,9,V,+0000,99999
2017-01-01 05:30:00,20,120,1,V,+0000,99999
2017-01-01 06:00:00,20,200,1,N,-0017,10242
2017-01-01 06:00:00,20,110,1,V,+0000,99999
2017-01-01 06:30:00,30,130,1,V,+0000,99999
2017-01-01 07:00:00,20,150,1,N,-0010,99999
2017-01-01 07:30:00,20,150,1,V,-0010,99999
2017-01-01 08:00:00,20,140,1,N,-0010,99999
2017-01-01 08:30:00,20,150,1,N,-0020,99999
2017-01-01 09:00:00,20,220,1,N,-0024,10235
2017-01-01 09:00:00,10,999,9,V,-0030,99999
2017-01-01 09:30:00,10,999,9,V,-0030,99999
2017-01-01 10:00:00,10,999,9,V,-0040,99999
2017-01-01 10:30:00,20,140,1,V,-0030,99999
2017-01-01 11:00:00,10,999,9,V,-0040,99999
2017-01-01 11:30:00,20,080,1,V,-0040,99999
2017-01-01 12:00:00,10,160,1,N,-0039,10248
2017-01-01 12:00:00,10,999,9,V,-0050,99999
2017-01-01 12:30:00,10,999,9,V,-0050,99999
2017-01-01 13:00:00,20,060,1,V,-0060,99999
2017-01-01 13:30:00,20,030,1,N,-0060,99999
2017-01-01 14:00:00,10,999,9,V,-0050,99999
2017-01-01 14:30:00,10,999,9,V,-0060,99999
2017-01-01 15:00:00,20,220,1,N,-0048,10256
2017-01-01 15:00:00,10,999,9,V,-0070,99999
2017-01-01 15:30:00,10,999,9,V,-0070,99999
2017-01-01 16:00:00,20,360,1,N,-0080,99999
2017-01-01 16:30:00,40,340,1,N,-0040,99999
2017-01-01 17:00:00,30,020,1,V,-0050,99999
2017-01-01 17:30:00,10,999,9,V,-0060,99999
2017-01-01 18:00:00,10,180,1,N,-0058,10257
2017-01-01 18:00:00,30,290,1,V,-0040,99999
2017-01-01 18:30:00,20,280,1,N,-0050,99999
2017-01-01 19:00:00,20,270,1,N,-0040,99999
2017-01-01 19:30:00,20,290,1,N,-0050,99999
2017-01-01 20:00:00,20,010,1,N,-0080,99999
2017-01-01 20:30:00,20,360,1,N,-0090,99999
2017-01-01 21:00:00,10,200,1,N,-0071,10254
2017-01-01 21:00:00,10,340,1,N,-0090,99999
2017-01-01 21:30:00,10,999,9,V,-0080,99999
2017-01-01 22:00:00,10,999,9,V,-0080,99999
