date,wind_speed,wind_direction,wind_speed_quality,wind_obs_type,tempc,atmpres
2009-01-01 00:00:00,10,020,1,N,-0078,10393
2009-01-01 00:30:00,50,020,1,N,-0060,99999
2009-01-01 01:00:00,50,030,1,N,-0060,99999
2009-01-01 01:30:00,50,020,1,N,-0050,99999
2009-01-01 02:00:00,40,020,1,N,-0040,99999
2009-01-01 02:30:00,30,040,1,N,-0030,99999
2009-01-01 03:00:00,10,040,1,N,-0019,10393
2009-01-01 03:30:00,20,330,1,N,-0020,99999
2009-01-01 04:00:00,20,340,1,N,-0020,99999
2009-01-01 04:30:00,10,999,9,V,-0010,99999
2009-01-01 05:00:00,20,280,1,N,+0000,99999
2009-01-01 05:30:00,10,999,9,V,+0000,99999
2009-01-01 06:00:00,20,180,1,N,+0006,10362
2009-01-01 06:30:00,10,999,9,V,+0000,99999
2009-01-01 07:00:00,20,210,1,N,+0010,99999
2009-01-01 07:30:00,10,999,9,V,+0010,99999
2009-01-01 08:00:00,10,999,9,V,+0010,99999
2009-01-01 08:30:00,10,999,9,V,-0010,99999
2009-01-01 09:00:00,20,250,1,N,-0010,10361
2009-01-01 09:30:00,10,999,9,V,-0020,99999
2009-01-01 10:00:00,20,180,1,N,-0030,99999
2009-01-01 10:30:00,10,999,9,V,-0030,99999
2009-01-01 11:00:00,10,999,9,V,-0050,99999
2009-01-01 11:30:00,10,999,9,V,-0050,99999
2009-01-01 12:00:00,10,200,1,N,-0031,10366
2009-01-01 12:30:00,20,210,1,N,-0020,99999
2009-01-01 13:00:00,10,999,9,V,-0060,99999
2009-01-01 13:30:00,10,999,9,V,-0070,99999
2009-01-01 14:00:00,0,999,9,C,-0080,99999
2009-01-01 14:30:00,10,999,9,V,-0090,99999
2009-01-01 15:00:00,10,200,1,N,-0065,10365
2009-01-01 15:30:00,10,060,1,N,-0100,99999
2009-01-01 16:00:00,10,020,1,N,-0080,99999
2009-01-01 16:30:00,10,030,1,N,-0100,99999
2009-01-01 17:00:00,10,999,9,V,-0110,99999
2009-01-01 17:30:00,10,340,1,N,-0090,99999
2009-01-01 18:00:00,10,220,1,N,-0076,10360
2009-01-01 18:30:00,20,350,1,N,-0090,99999
2009-01-01 21:00:00,10,090,1,N,-0080,10353
2009-01-01 22:00:00,30,350,1,N,-0110,99999
2009-01-01 22:30:00,30,340,1,N,-0100,99999
2009-01-01 23:00:00,30,340,1,N,-0090,99999
2009-01-01 23:30:00,30,350,1,N,-0100,99999
2009-01-02 00:00:00,20,020,1,N,-0077,10353
2009-01-02 00:30:00,30,340,1,N,-0070,99999
2009-01-02 01:00:00,40,340,1,N,-0060,99999
2009-01-02 01:30:00,40,340,1,N,-0060,99999
2009-01-02 02:00:00,40,360,1,N,-0040,99999
2009-01-02 02:30:00,30,340,1,N,-0030,99999
2009-01-02 03:00:00,10,180,1,N,-0006,10355
2009-01-02 03:30:00,20,320,1,N,-0010,99999
2009-01-02 04:00:00,20,330,1,N,-0010,99999
2009-01-02 04:30:00,10,999,9,V,+0000,99999
2009-01-02 05:00:00,10,999,9,V,+0000,99999
2009-01-02 05:30:00,10,999,9,V,+0010,99999
2009-01-02 06:00:00,10,220,1,N,+0023,10326
2009-01-02 06:30:00,10,999,9,V,+0010,99999
2009-01-02 07:00:00,0,999,9,C,+0010,99999
2009-01-02 07:30:00,0,999,9,C,+0010,99999
2009-01-02 08:00:00,10,080,1,N,+0010,99999
2009-01-02 08:30:00,10,080,1,N,+0000,99999
2009-01-02 09:00:00,10,200,1,N,+0009,10324
2009-01-02 09:30:00,0,999,9,C,-0020,99999
2009-01-02 10:00:00,0,999,9,C,-0020,99999
2009-01-02 10:30:00,0,999,9,C,-0030,99999
2009-01-02 11:00:00,10,070,1,N,-0040,99999
2009-01-02 11:30:00,0,999,9,C,-0030,99999
2009-01-02 12:00:00,10,250,1,N,-0020,10331
2009-01-02 12:30:00,0,999,9,C,-0050,99999
2009-01-02 13:00:00,10,999,9,V,-0050,99999
2009-01-02 13:30:00,10,010,1,N,-0060,99999
2009-01-02 14:00:00,10,999,9,V,-0080,99999
2009-01-02 14:30:00,10,340,1,N,-0060,99999
2009-01-02 15:00:00,0,999,9,C,-0035,10326
2009-01-02 15:30:00,20,350,1,N,-0060,99999
2009-01-02 16:00:00,30,350,1,N,-0080,99999
2009-01-02 16:30:00,30,350,1,N,-0060,99999
2009-01-02 17:00:00,30,340,1,N,-0070,99999
2009-01-02 17:30:00,30,330,1,N,-0060,99999
2009-01-02 18:00:00,10,070,1,N,-0054,10322
