date,wind_speed,wind_direction,wind_speed_quality,wind_obs_type,tempc,atmpres
2008-01-01 00:00:00,20,320,1,N,-0038,10347
2008-01-01 01:00:00,40,360,1,N,-0040,99999
2008-01-01 02:00:00,80,310,1,N,-0020,99999
2008-01-01 03:00:00,40,340,1,N,-0002,10349
2008-01-01 04:00:00,90,310,1,N,+0000,99999
2008-01-01 05:00:00,80,310,1,N,+0020,99999
2008-01-01 06:00:00,40,290,1,N,+0032,10312
2008-01-01 07:00:00,90,300,1,N,+0020,99999
2008-01-01 08:00:00,80,300,1,N,+0020,99999
2008-01-01 09:00:00,20,320,1,N,+0026,10310
2008-01-01 10:00:00,50,300,1,N,+0020,99999
2008-01-01 11:00:00,60,320,1,N,+0010,99999
2008-01-01 12:00:00,20,270,1,N,-0001,10314
2008-01-01 13:00:00,40,310,1,N,+0010,99999
2008-01-01 14:00:00,30,300,1,N,-0010,99999
2008-01-01 15:00:00,10,250,1,N,-0033,10314
2008-01-01 16:00:00,40,320,1,N,-0010,99999
2008-01-01 17:00:00,40,330,1,N,-0010,99999
2008-01-01 18:00:00,0,999,9,C,-0054,10309
2008-01-01 19:00:00,30,020,1,N,-0030,99999
2008-01-01 20:00:00,10,999,9,V,-0050,99999
2008-01-01 21:00:00,10,340,1,N,-0062,10292
2008-01-01 22:00:00,10,999,9,V,-0050,99999
2008-01-01 23:00:00,10,999,9,V,-0050,99999
2008-01-02 00:00:00,10,220,1,N,-0052,10297
2008-01-02 01:00:00,10,999,9,V,-0030,99999
2008-01-02 02:00:00,30,330,1,N,+0000,99999
2008-01-02 03:00:00,20,250,1,N,+0039,10292
2008-01-02 04:00:00,40,290,1,N,+0050,99999
2008-01-02 05:00:00,40,330,1,N,+0060,99999
2008-01-02 06:00:00,20,270,1,N,+0058,10257
2008-01-02 07:00:00,40,320,1,N,+0050,99999
2008-01-02 08:00:00,40,310,1,N,+0050,99999
2008-01-02 09:00:00,10,220,1,N,+0038,10247
2008-01-02 10:00:00,60,280,1,N,+0030,99999
2008-01-02 11:00:00,30,290,1,N,+0020,99999
2008-01-02 12:00:00,10,290,1,N,+0004,10259
2008-01-02 13:00:00,10,999,9,V,-0020,99999
2008-01-02 14:00:00,10,290,1,N,-0020,99999
2008-01-02 15:00:00,10,250,1,N,-0009,10264
2008-01-02 16:00:00,60,280,1,N,+0000,99999
2008-01-02 17:00:00,40,320,1,N,-0010,99999
2008-01-02 18:00:00,30,340,1,N,+0016,10268
2008-01-02 19:00:00,50,300,1,N,+0010,99999
